,PageRank,HubScore,AuthorityScore,Betweeness,Colony,Day,Role
Ant556,0.00962485502339353,0.014409270147919708,0.014409270147088787,0.001739836896845799,3,18,N
Ant252,0.005713407817209875,0.0033291092451281142,0.003329109245600313,0.003751521755112435,3,18,F
Ant250,0.008064525384279299,0.008657221333760033,0.008657221333827788,0.001101725210518553,3,18,C
Ant251,0.006520095724553987,0.002553439155428875,0.002553439156151798,0.001566175926956376,3,18,F
Ant124,0.00788940941566484,0.006537378014677327,0.006537378014893347,0.003926267911190685,3,18,C
Ant126,0.004167214774758511,0.0032337430982359036,0.0032337430983604234,0.0018335040904514709,3,18,C
Ant255,0.004828976916281611,0.00254020230171498,0.0025402023020714595,0.0024922376665738417,3,18,F
Ant26,0.0064987001795030535,0.005122683502988179,0.005122683503245011,0.002595398421955114,3,18,F
Ant27,0.005672106449686573,0.003648910215066819,0.003648910215361831,0.0019469845763443,3,18,F
Ant20,0.01007850818376043,0.014262194477944672,0.014262194477198736,0.0016567611453449141,3,18,N
Ant23,0.006957852009956318,0.00859925816623034,0.008599258165984655,0.0022813805442726985,3,18,N
Ant256,0.008917307565806177,0.006679295883154457,0.006679295883641581,0.0034987651055909024,3,18,F
Ant137,0.00612207251976766,0.008424354393104513,0.008424354392513335,0.0007299299442279973,3,18,N
Ant334,0.008655927677887476,0.012284647491015209,0.012284647490432253,0.003044563294223992,3,18,N
Ant131,0.008662576113198704,0.012182008788500044,0.012182008787904644,0.002790849978826376,3,18,N
Ant127,0.007247919288767051,0.003746696122394351,0.003746696123035359,0.0032689879493040955,3,18,F
Ant560,0.0076332714904816575,0.004798715980219515,0.004798715980740996,0.001746393330889432,3,18,F
Ant564,0.008702389626938561,0.013192275603132998,0.013192275602326095,0.0019103122469533585,3,18,N
Ant243,0.009375355850470621,0.009765556846771217,0.009765556846852595,0.003810241797847904,3,18,C
Ant242,0.008121042529234982,0.0124224994389519,0.012422499438166201,0.0013638344671785608,3,18,N
Ant245,0.0013998328389527603,0.0004334764938468933,0.00043347649384416085,8.403564862288444e-05,3,18,C
Ant244,0.004850048657146241,0.0050832161077645896,0.005083216107672903,0.002209067387838649,3,18,N
Ant51,0.008713097732347477,0.007684403217556411,0.0076844032177759555,0.003768178772102473,3,18,F
Ant50,0.005678878237782001,0.0037696933884451425,0.0037696933887572596,0.0018667750351332784,3,18,F
Ant53,0.011860705084366105,0.01814655607952554,0.018146556078290212,0.001493772976213496,3,18,N
Ant52,0.008517720241889229,0.008091673285717676,0.008091673285796002,0.004694658158852639,3,18,C
Ant54,0.004196218707515587,0.0023320018330016223,0.002332001833256925,0.0029115134478970893,3,18,F
Ant57,0.003540676321454803,0.0011932686844329775,0.0011932686847748871,0.0008584575054927608,3,18,F
Ant59,0.007905414400696417,0.006873646635781778,0.006873646636043614,0.0030563891538024574,3,18,C
Ant331,0.006200981530573877,0.007193222090197994,0.007193222090113439,0.002745967198639561,3,18,N
Ant509,0.010729864812690617,0.003878868394482097,0.0038788683958587934,0.0007652075297751455,3,18,F
Ant308,0.007114581676706957,0.008702276993411981,0.008702276993192714,0.003377640265417954,3,18,N
Ant35,0.006802348056545714,0.00998468067447426,0.009984680673833079,0.0005788886337336689,3,18,N
Ant673,0.005863995041939894,0.004046863237431037,0.00404686323765583,0.0022250520705905936,3,18,F
Ant9,0.006907193939281681,0.0076954364681509155,0.007695436468004621,0.003508084614657568,3,18,N
Ant149,0.005370455150018074,0.0031217197290098826,0.0031217197293861615,0.0014047188400767437,3,18,F
Ant278,0.004511749378482785,0.004838930034147065,0.0048389300340771595,0.001394226494311252,3,18,C
Ant301,0.009049869691128988,0.011696250072207957,0.011696250071791295,0.002942074146620609,3,18,N
Ant476,0.00548321198226634,0.0032935191647559385,0.003293519165192087,0.0017800355896424981,3,18,F
Ant475,0.005747413030602065,0.0036857512539082223,0.0036857512542760327,0.003485043552335673,3,18,F
Ant380,0.011300867347719585,0.0053585400772040515,0.005358540078559353,0.003007054377939974,3,18,F
Ant540,0.007126100559836643,0.009620276531224891,0.009620276530668952,0.001386614410900973,3,18,N
Ant576,0.007366473825037977,0.009914517621869425,0.009914517621224186,0.0018575565866585022,3,18,N
Ant227,0.012753950907464008,0.01389713416009367,0.013897134159915909,0.004545702041263871,3,18,C
Ant44,0.0021763381153195277,0.0004824987277161216,0.0004824987278860216,2.0234161680254135e-05,3,18,F
Ant48,0.007702054606067252,0.004150873769052428,0.004150873769636068,0.005345346920687419,3,18,F
Ant580,0.004695338402244358,0.006833166531624111,0.006833166531110877,0.00018612253345960423,3,18,N
Ant398,0.007351204340455976,0.011453309892713603,0.011453309891988046,0.001140660198327428,3,18,N
Ant663,0.0127326521844805,0.014382883426720235,0.014382883426488918,0.0046408231529861035,3,18,
Ant740,0.007928281214708649,0.009687422403552751,0.009687422403320578,0.0025628981931360055,3,18,C
Ant954,0.007467493012980644,0.008214311733571367,0.008214311733375064,0.0025835776243412576,3,18,
Ant260,0.009670381573930836,0.005291430355207325,0.005291430356057384,0.0033978788679405363,3,18,F
Ant264,0.00677338812118614,0.009716958528810734,0.009716958528183285,0.0007165957543586351,3,18,N
Ant159,0.005515822415486366,0.0074894039363798525,0.007489403935891318,0.0008520394166451107,3,18,N
Ant158,0.009118534444275534,0.012053179043725428,0.012053179043185078,0.003123600554917538,3,18,N
Ant220,0.005858752613997833,0.006311283617268453,0.006311283617158508,0.0021243858581605772,3,18,N
Ant391,0.005951751646929366,0.002458858583729654,0.002458858584350741,0.0013778570939350428,3,18,F
Ant390,0.006181942677956184,0.007519687944399632,0.007519687944122882,0.00202480050533242,3,18,N
Ant397,0.008002463878349426,0.009720972439918126,0.009720972439624513,0.0020363231693791258,3,18,C
Ant395,0.003904679355107917,0.0018339341174152441,0.0018339341176850142,0.002644985173785294,3,18,F
Ant394,0.009520145559242334,0.011492949513783522,0.01149294951356958,0.0033322609670711385,3,18,C
Ant4,0.005308579223462171,0.0026333809452033373,0.0026333809457931407,0.0018410350645716234,3,18,F
Ant7,0.011315291960301418,0.005030704610135202,0.005030704611804488,0.0009371817389506578,3,18,F
Ant6,0.006117854932230707,0.0035800943562281024,0.00358009435672739,0.0029486052696139978,3,18,F
Ant1,0.005384334651970924,0.005279319748264319,0.005279319748246189,0.0019188445065919308,3,18,C
Ant0,0.007600782047538744,0.0044590034137960205,0.004459003414360679,0.004119137151283605,3,18,F
Ant2,0.0048580511947880255,0.0038623720476986703,0.0038623720478210173,0.003036856760189055,3,18,C
Ant482,0.004682604038123397,0.005222697735339754,0.0052226977353204765,0.0010450058106483318,3,18,C
Ant76,0.003590612802087378,0.0013484538735699927,0.001348453873908064,0.0013637260167240713,3,18,F
